net,length_um
_1162_,5.34
_1187_,5.34
regfile.regfile\[12\]\[20\],5.34
_0046_,5.315
_0036_,5.305
_0115_,5.305
net36,5.28
_0013_,5.265
_0071_,5.265
_0536_,5.26
_0774_,5.26
regfile.regfile\[7\]\[14\],5.26
_0072_,5.24
_0172_,5.24
_0281_,5.22
_0465_,5.22
_0566_,5.22
_0590_,5.22
_0819_,5.22
_0920_,5.22
_0963_,5.21
_0050_,5.16
regfile.regfile\[21\]\[26\],5.14
_0921_,5.12
_0040_,5.095
_0185_,5.095
_0131_,5.085
_0145_,5.085
_1084_,5.06
_0464_,5.02
_0882_,5
_0096_,4.975
_0122_,4.965
_0285_,4.92
regfile.regfile\[21\]\[25\],4.92
_0221_,4.88
_0287_,4.88
_0458_,4.88
_0481_,4.88
_0585_,4.88
_0822_,4.88
_0006_,4.845
_0018_,4.845
_0031_,4.845
_0091_,4.845
_0117_,4.845
_0198_,4.845
_0105_,4.82
_0637_,4.82
